brand,title,content,content_unit,cat_name,cat_id,item_id,mrp,cp,tax_n_disc
Haldiram,Thandai Kesaria,700,ml,Squashes & Sharbats,575,13095949,262.5,270,3;5
Haldiram,Thandai Kesaria,1,kg,Squashes & Sharbats,575,94516487,262.5,270,5;6
Haldiram,Mango Panna,750,ml,Squashes & Sharbats,575,84865601,132.5,135,3;6
Haldiram,Mango Panna,700,ml,Squashes & Sharbats,575,24061223,131,135,3;5;4
Haldiram,Rose Syrup Sharbat,700,ml,Squashes & Sharbats,575,57840055,131,135,3;5;6
Haldiram,Khus Syrup Sharbat,700,ml,Squashes & Sharbats,575,95786650,131,135,4;5
Haldiram,Khus Syrup Sharbat,1,Lt,Squashes & Sharbats,575,91749284,131,135,3;4
